task_id,trial_id,input,target
0,0,"[1.476487636566162, 2.031444549560547, -3.2041401863098145, -1.4910110235214233]",1.0
0,1,"[0.48170584440231323, 0.05206429958343506, 1.5810821056365967, -0.22546514868736267]",1.0
0,2,"[-1.3521409034729004, 1.6232705116271973, -0.37463757395744324, -0.22621867060661316]",0.0
0,3,"[1.8152551651000977, -1.1307003498077393, 0.44562166929244995, 1.223607063293457]",1.0
0,4,"[-0.38594314455986023, 0.7487843036651611, -0.19039463996887207, 2.144914388656616]",1.0
0,5,"[0.6729944944381714, 2.200465440750122, -1.523409128189087, -0.39094769954681396]",1.0
0,6,"[-1.3975512981414795, 0.5383617877960205, -0.9105616807937622, -1.0543454885482788]",0.0
0,7,"[0.04072187840938568, 0.3024451732635498, 0.8857292532920837, -0.3018810451030731]",0.0
0,8,"[-0.41753631830215454, -2.6558518409729004, 1.9753679037094116, -1.3847124576568604]",0.0
0,9,"[0.41200318932533264, 0.13636505603790283, -1.220462441444397, 0.4787437319755554]",1.0
0,10,"[-0.22044312953948975, -2.2050390243530273, 1.23893141746521, 0.08842074871063232]",0.0
0,11,"[0.4939359128475189, -0.5642472505569458, -0.3006678819656372, -1.3692946434020996]",1.0
0,12,"[-0.1398165225982666, 1.0308337211608887, 0.6486254930496216, 0.8359407186508179]",1.0
0,13,"[0.27640920877456665, 0.0005898475646972656, 0.2668488025665283, -0.6494329571723938]",1.0
0,14,"[-0.2651331424713135, 0.5190253257751465, 0.18605083227157593, -2.8325843811035156]",0.0
0,15,"[-0.7030974626541138, -0.7139231562614441, -0.6034001111984253, -1.1356048583984375]",0.0
0,16,"[0.9411662817001343, -0.23154744505882263, -1.3106296062469482, 0.26612645387649536]",1.0
0,17,"[-2.503021240234375, 1.148714542388916, 1.0883961915969849, -1.418361783027649]",0.0
0,18,"[-0.790307879447937, -0.9571965932846069, 0.863853931427002, 0.22056084871292114]",0.0
0,19,"[2.1574788093566895, 0.9215563535690308, -2.677218198776245, -0.32367098331451416]",1.0
1,0,"[0.9447100758552551, 0.08217933773994446, 1.215207815170288, 0.09608873724937439]",1.0
1,1,"[-1.9139748811721802, -1.7977759838104248, 0.3760627210140228, -3.923013687133789]",0.0
1,2,"[0.3240908086299896, 0.7934454679489136, -1.3301465511322021, 1.7311508655548096]",1.0
1,3,"[-0.9380688667297363, -2.6369903087615967, 0.007568150758743286, 0.09327375888824463]",0.0
1,4,"[0.5485110282897949, -0.3263520896434784, 0.7049354314804077, 0.004861466586589813]",1.0
1,5,"[0.4564027488231659, 3.8641929626464844, -1.6304842233657837, 1.480021595954895]",1.0
1,6,"[-0.22313500940799713, 1.8480610847473145, -1.306985855102539, 0.8383134603500366]",0.0
1,7,"[-1.8035354614257812, 1.8418734073638916, 0.8200901746749878, -1.1499818563461304]",0.0
1,8,"[1.6088685989379883, -2.0326781272888184, 0.3510335087776184, -0.1966838836669922]",1.0
1,9,"[0.4929456412792206, 0.11395567655563354, 0.4523388743400574, 0.9686343669891357]",1.0
1,10,"[3.4264755249023438, 0.9117003679275513, -0.06885924935340881, 1.3271132707595825]",1.0
1,11,"[0.6036655902862549, -0.8192064762115479, -0.9299362897872925, 1.7088022232055664]",0.0
1,12,"[0.8047780394554138, -1.406806468963623, -1.390927791595459, 0.5188695192337036]",0.0
1,13,"[0.2403426170349121, 0.45910006761550903, 2.5928893089294434, -0.4320923089981079]",1.0
1,14,"[-0.2789210081100464, -1.6633493900299072, -1.1291368007659912, -0.8878542184829712]",0.0
1,15,"[-0.6975493431091309, 1.3783456087112427, -1.2525999546051025, -0.5254330039024353]",0.0
1,16,"[0.8502240180969238, -0.4502508342266083, -2.4812779426574707, 1.0467945337295532]",0.0
1,17,"[-1.8432379961013794, -0.658924400806427, 2.0923104286193848, -3.2924628257751465]",0.0
1,18,"[1.403290867805481, 0.8791897296905518, -1.6892231702804565, 1.6405410766601562]",1.0
1,19,"[1.28751802444458, 1.4994971752166748, 0.39178919792175293, 0.8419683575630188]",1.0
2,0,"[-0.5274965763092041, 2.279801845550537, -2.6818532943725586, -0.8768049478530884]",0.0
2,1,"[0.9336979985237122, -0.08081971853971481, 0.8385018110275269, 1.215476632118225]",1.0
2,2,"[0.36476486921310425, 0.45398885011672974, -1.1570751667022705, -0.7867754697799683]",0.0
2,3,"[-1.244372010231018, -0.568417489528656, 1.0314792394638062, 1.197458028793335]",1.0
2,4,"[-1.5720986127853394, 1.504766583442688, -2.297043800354004, -0.7548505067825317]",0.0
2,5,"[-0.9655080437660217, -0.878301203250885, -1.328008770942688, -0.7499706745147705]",0.0
2,6,"[1.5579686164855957, 3.1671359539031982, -1.2100706100463867, 0.08645318448543549]",1.0
2,7,"[-1.0600842237472534, -0.4157872796058655, -0.4168299436569214, -0.5983739495277405]",0.0
2,8,"[1.8899006843566895, 2.07110595703125, -1.878925085067749, -1.4111175537109375]",0.0
2,9,"[1.2691574096679688, 1.8094366788864136, -0.7618908882141113, 0.39325445890426636]",1.0
2,10,"[-0.97702956199646, 2.905679225921631, -1.9742035865783691, 0.7480621337890625]",1.0
2,11,"[-0.9204765558242798, -2.123100757598877, 1.3078645467758179, 0.2535841464996338]",1.0
2,12,"[1.532666563987732, -0.12375041842460632, 0.48685622215270996, 0.10206007957458496]",1.0
2,13,"[0.7729418277740479, 0.5925436615943909, -1.2758572101593018, -1.7622807025909424]",0.0
2,14,"[-1.4681543111801147, -1.605981707572937, 0.5106961727142334, -0.4209407567977905]",0.0
2,15,"[-1.9669320583343506, 0.09708821773529053, 1.0231144428253174, -0.8502655029296875]",0.0
2,16,"[2.432356357574463, -1.3350274562835693, -0.06381025910377502, -1.148707628250122]",0.0
2,17,"[-0.4501526951789856, -0.0841217041015625, 0.3114469051361084, -0.41285109519958496]",0.0
2,18,"[1.8165326118469238, -1.145564317703247, 0.09513711929321289, 0.8453177213668823]",1.0
2,19,"[0.32982635498046875, 0.48425984382629395, 0.825652003288269, 0.476579487323761]",1.0
3,0,"[1.767749309539795, 2.2577009201049805, 1.982893466949463, 1.1559181213378906]",1.0
3,1,"[-1.450763463973999, -1.7891563177108765, -0.2275179624557495, 1.0319371223449707]",0.0
3,2,"[-0.41954943537712097, 1.6356234550476074, 1.9314924478530884, 0.7712572813034058]",1.0
3,3,"[-1.3211631774902344, -2.1203246116638184, -1.6139748096466064, -0.1502707302570343]",0.0
3,4,"[1.2087825536727905, 1.3517377376556396, 1.137439250946045, 0.9933938384056091]",1.0
3,5,"[-2.0656614303588867, -0.5389341115951538, 2.1359035968780518, 3.9343552589416504]",1.0
3,6,"[-2.0144097805023193, -0.26826220750808716, 1.0934442281723022, 0.7119438648223877]",0.0
3,7,"[0.7869139909744263, -2.2719011306762695, -2.5558016300201416, -0.3549787998199463]",0.0
3,8,"[-0.35539016127586365, 2.490605354309082, 2.7862415313720703, 0.1306077241897583]",1.0
3,9,"[2.675504207611084, 0.6917215585708618, -2.0163817405700684, -1.6081006526947021]",1.0
3,10,"[0.19014394283294678, -1.333927869796753, -0.3080671727657318, 1.7248845100402832]",0.0
3,11,"[0.7621233463287354, 1.7284702062606812, 1.2164477109909058, 0.6438060998916626]",1.0
3,12,"[0.46730244159698486, 1.4492897987365723, 0.570327877998352, 0.4142633378505707]",1.0
3,13,"[0.1945476531982422, 1.1005432605743408, -0.4273937940597534, -2.4450223445892334]",1.0
3,14,"[0.33567923307418823, -0.39164406061172485, -0.8260868191719055, -1.145838975906372]",0.0
3,15,"[0.03596831113100052, -0.8974582552909851, -1.7289477586746216, -1.3306784629821777]",0.0
3,16,"[1.0223064422607422, 1.617762565612793, 0.6767715215682983, -1.0918809175491333]",1.0
3,17,"[1.5633814334869385, 1.9580358266830444, -0.5939420461654663, -3.4096970558166504]",1.0
