task_id,trial_id,input,target
0,0,"[3.789050579071045, -0.87181156873703, -2.5788166522979736, -0.8428841829299927]",0.0
0,1,"[1.9345147609710693, 0.32610875368118286, 0.050830721855163574, 1.0064189434051514]",0.0
0,2,"[-1.2045226097106934, -0.569053053855896, -2.2628135681152344, -1.9110207557678223]",1.0
0,3,"[0.5654143691062927, 0.03302311897277832, 0.4149667024612427, -0.20900429785251617]",0.0
0,4,"[0.10794265568256378, -0.4507918953895569, -1.2520171403884888, -1.5370590686798096]",0.0
0,5,"[1.6983387470245361, 1.3165370225906372, 0.571738600730896, 0.7069928646087646]",0.0
0,6,"[-1.675337791442871, -0.5013591051101685, 1.3007112741470337, 0.8070408701896667]",1.0
0,7,"[-1.8245666027069092, 3.1791415214538574, 1.7514456510543823, -0.4355873763561249]",1.0
0,8,"[0.24783110618591309, -1.6637687683105469, -1.4307149648666382, -0.8802016973495483]",0.0
0,9,"[0.7741638422012329, 1.8013405799865723, 2.771376132965088, 0.5655801296234131]",1.0
0,10,"[0.5623413324356079, -0.5606959462165833, 0.1475936770439148, -0.40015751123428345]",0.0
0,11,"[-1.2543343305587769, -0.6194897890090942, 0.5651160478591919, 0.01456877589225769]",1.0
0,12,"[2.5623459815979004, -0.08263940364122391, 0.5101206302642822, 1.7744988203048706]",0.0
0,13,"[-0.942480206489563, -0.4364994168281555, 1.3283536434173584, 1.0223177671432495]",1.0
0,14,"[-2.2035574913024902, -1.0267531871795654, -0.515971302986145, -1.0133569240570068]",1.0
0,15,"[1.4524972438812256, 2.099785566329956, -1.0826621055603027, -2.7979438304901123]",1.0
0,16,"[0.7753390073776245, -1.270626187324524, -1.055949091911316, -1.6525548696517944]",0.0
0,17,"[-0.24883779883384705, -2.2114017009735107, -0.41607987880706787, 0.3850748538970947]",0.0
0,18,"[-1.1114215850830078, 0.5127770304679871, 0.21930253505706787, -0.38483262062072754]",1.0
0,19,"[-0.38848620653152466, 0.12710891664028168, 3.2637686729431152, 4.1912736892700195]",1.0
1,0,"[0.718209981918335, 0.8027991056442261, 0.9280827641487122, 1.5372462272644043]",0.0
1,1,"[-0.04767625033855438, -0.493145614862442, 0.3492659628391266, 0.5449004173278809]",1.0
1,2,"[-1.2169926166534424, 0.13853412866592407, -1.967012643814087, -1.5121451616287231]",0.0
1,3,"[1.878053903579712, 0.6403546333312988, 2.481024980545044, 3.0331249237060547]",1.0
1,4,"[2.814351797103882, 2.970543622970581, -0.45348384976387024, 1.8151308298110962]",0.0
1,5,"[1.1251411437988281, -0.1103605329990387, 0.965370774269104, 0.9387300610542297]",0.0
1,6,"[-1.7330796718597412, -1.6450669765472412, 0.21697774529457092, 0.10570237040519714]",1.0
1,7,"[1.6691702604293823, 2.252976655960083, -1.3151804208755493, 1.895641565322876]",0.0
1,8,"[0.19420689344406128, -0.7657877802848816, 2.7781572341918945, 1.2889689207077026]",1.0
1,9,"[2.102325916290283, 2.561476230621338, -1.4595506191253662, 2.5480570793151855]",0.0
1,10,"[-1.1359319686889648, -1.3495924472808838, -0.3030576705932617, -1.806581735610962]",1.0
1,11,"[1.3400864601135254, 2.48276686668396, -3.885190486907959, -0.1045762300491333]",0.0
1,12,"[-0.006657063961029053, -1.0467071533203125, 1.6100256443023682, -0.15433281660079956]",1.0
1,13,"[0.6211763620376587, 0.8520402908325195, 0.06244373321533203, -0.2097792625427246]",0.0
1,14,"[-1.779782772064209, -1.0939394235610962, 0.23675298690795898, -2.137065887451172]",1.0
1,15,"[-0.8404595851898193, -1.0791116952896118, 0.13933086395263672, -1.7258796691894531]",1.0
1,16,"[-0.39681321382522583, -1.1444246768951416, 0.9169002771377563, -0.38746213912963867]",1.0
1,17,"[-0.6110426783561707, -1.02194082736969, 0.08898687362670898, 0.7013880610466003]",1.0
1,18,"[-1.1992233991622925, -1.1520895957946777, -0.9839968681335449, -0.5053774118423462]",1.0
1,19,"[3.735771894454956, 3.6597368717193604, 0.8314980864524841, 2.720263719558716]",0.0
2,0,"[0.5427170991897583, 0.1399184614419937, -1.4909391403198242, -0.8827760815620422]",1.0
2,1,"[0.9850822687149048, 1.7985224723815918, -1.8811076879501343, 1.0751190185546875]",1.0
2,2,"[-1.9938700199127197, -1.0469105243682861, 1.6141266822814941, 1.9112591743469238]",0.0
2,3,"[1.9551124572753906, -1.109987497329712, -1.6342283487319946, -1.39187490940094]",1.0
2,4,"[-1.480877161026001, -0.2174568772315979, -0.3975692093372345, -1.1612975597381592]",0.0
2,5,"[-0.47783347964286804, -0.19582444429397583, 0.01750636100769043, -0.16697180271148682]",0.0
2,6,"[0.6756612062454224, 2.0924739837646484, -1.1030900478363037, 1.8146488666534424]",1.0
