task_id,trial_id,input,target
0,0,"[1.0301332473754883, -0.12171834707260132, 0.3231351971626282, 0.6818281412124634]",0.0
0,1,"[1.1967374086380005, -0.31870079040527344, -0.2603984475135803, -1.490471363067627]",0.0
0,2,"[-0.5360724925994873, 0.04364335536956787, -0.46210604906082153, 2.1425576210021973]",1.0
0,3,"[0.8008842468261719, 0.8424776196479797, 3.1163086891174316, -0.8276814222335815]",0.0
0,4,"[-2.402038812637329, 2.8105220794677734, -0.7874225378036499, 0.19451770186424255]",1.0
0,5,"[1.6433247327804565, 0.6523159742355347, 0.013118147850036621, -2.8493194580078125]",0.0
0,6,"[0.8859426975250244, 1.5293973684310913, -1.143348217010498, 0.3210650384426117]",0.0
0,7,"[1.2839033603668213, -0.61095130443573, 1.7506449222564697, -1.4349910020828247]",0.0
0,8,"[1.0512086153030396, -1.13250732421875, 0.3972468972206116, 0.8287583589553833]",0.0
0,9,"[0.24992728233337402, -0.6319098472595215, 1.8041760921478271, 0.35785478353500366]",0.0
0,10,"[-1.8068461418151855, 1.0596554279327393, -0.6867078542709351, 0.6953873634338379]",1.0
0,11,"[-0.19321513175964355, -0.22140979766845703, 2.1944005489349365, 3.5055999755859375]",1.0
0,12,"[0.0661725401878357, -0.6576541662216187, -2.4198074340820312, 0.032599419355392456]",1.0
0,13,"[1.6653251647949219, -0.04254668951034546, 3.2136611938476562, 0.42685890197753906]",0.0
0,14,"[-2.742037296295166, 1.2247998714447021, -1.8592090606689453, 1.0993939638137817]",1.0
0,15,"[1.448779582977295, -3.912053346633911, 0.02484428882598877, -0.09701952338218689]",0.0
0,16,"[-1.3592711687088013, -1.1845319271087646, 0.43425971269607544, -0.03812354803085327]",1.0
0,17,"[0.7551807165145874, -1.6313995122909546, 2.287654399871826, 1.9711334705352783]",0.0
0,18,"[-0.6249688863754272, -1.7642815113067627, -0.8569924831390381, 1.9678250551223755]",1.0
0,19,"[2.0073816776275635, -0.05484020709991455, 0.5886025428771973, 1.8068454265594482]",0.0
1,0,"[-0.10020017623901367, 2.063175678253174, 0.43665242195129395, -1.9836233854293823]",0.0
1,1,"[1.105616807937622, 1.3865039348602295, -3.366133689880371, -2.4512715339660645]",0.0
1,2,"[1.9116458892822266, 0.1880461573600769, -1.1329822540283203, 0.0776854157447815]",1.0
1,3,"[1.6730613708496094, -0.8272168040275574, -0.6728886365890503, -0.6878026723861694]",1.0
1,4,"[1.0644309520721436, -1.4865033626556396, 0.2522251009941101, 0.8032737970352173]",1.0
1,5,"[-1.186151385307312, -0.015214651823043823, -0.018432974815368652, 0.23519384860992432]",0.0
1,6,"[-1.3335237503051758, 1.6640539169311523, -1.0603792667388916, -0.23897728323936462]",0.0
1,7,"[-2.639192819595337, 1.8540815114974976, 0.5449497699737549, -0.7322306632995605]",0.0
1,8,"[0.10248367488384247, -1.8978856801986694, 1.1124839782714844, 1.9608957767486572]",1.0
1,9,"[-1.1434077024459839, 2.103506565093994, -0.7402244210243225, -1.2315205335617065]",0.0
1,10,"[2.119093894958496, -0.5420818328857422, 0.7663576602935791, -1.1607658863067627]",1.0
1,11,"[-1.8529011011123657, 1.6181458234786987, 2.3080978393554688, -0.6195218563079834]",0.0
1,12,"[-1.0713212490081787, 1.2191948890686035, 0.20219475030899048, 0.07698863744735718]",0.0
1,13,"[0.11943912506103516, -0.24554824829101562, 0.3620871305465698, -0.46002084016799927]",0.0
1,14,"[-0.09486766159534454, 1.731236219406128, -2.630995512008667, -1.1163303852081299]",0.0
1,15,"[1.2629549503326416, -1.1761176586151123, -0.9521605968475342, 0.4201681613922119]",1.0
1,16,"[1.6025060415267944, 0.5539819002151489, -1.116405963897705, -2.314342498779297]",1.0
1,17,"[0.11234778165817261, -0.6507887840270996, 2.3348758220672607, 1.551612138748169]",1.0
1,18,"[-1.3599532842636108, 1.3359020948410034, 0.8173030018806458, 0.240838885307312]",0.0
1,19,"[0.03006776049733162, -2.1229896545410156, 1.5824588537216187, 2.209646224975586]",1.0
2,0,"[0.4768339991569519, -0.6494519114494324, 0.4643092155456543, 0.1532440334558487]",1.0
2,1,"[0.3687836527824402, 0.8444837927818298, 2.275148868560791, 0.2662508189678192]",1.0
2,2,"[-0.47280341386795044, -2.4518070220947266, -1.3250073194503784, -1.14731764793396]",0.0
2,3,"[0.002753317356109619, 0.6009294390678406, 2.0757527351379395, -0.0921710729598999]",1.0
2,4,"[-1.392850399017334, -0.47473910450935364, 2.0157785415649414, -0.5752298831939697]",0.0
2,5,"[1.910325527191162, -1.3912595510482788, 1.0827885866165161, -2.272437334060669]",1.0
2,6,"[0.7128779292106628, -1.2070505619049072, -0.9044697284698486, 0.9427118301391602]",1.0
2,7,"[-1.3084499835968018, -0.21350517868995667, -0.7514169812202454, -1.0519167184829712]",0.0
2,8,"[0.8276431560516357, -1.6621252298355103, -1.1915032863616943, 3.1427626609802246]",1.0
2,9,"[2.062528133392334, -0.28530353307724, 0.5858057737350464, -2.8654093742370605]",1.0
2,10,"[0.31593015789985657, 0.061730921268463135, 1.949566125869751, 0.7603052854537964]",1.0
2,11,"[-1.2196420431137085, 0.8751369714736938, 0.2870901823043823, 2.2678351402282715]",0.0
2,12,"[1.796502709388733, 0.7681369781494141, -0.7033072710037231, 0.5405218601226807]",1.0
2,13,"[1.3988451957702637, -0.5399565100669861, 0.742743730545044, -2.3469810485839844]",1.0
2,14,"[-0.5584671497344971, 1.7082360982894897, 0.22733062505722046, -1.9050568342208862]",0.0
2,15,"[-1.1628339290618896, -0.8423489928245544, -0.7395042777061462, -1.8559356927871704]",0.0
2,16,"[0.17782366275787354, -0.7140067219734192, -0.14332593977451324, 1.2115191221237183]",1.0
2,17,"[1.402968168258667, 0.6269133687019348, 0.37718307971954346, -2.685661792755127]",1.0
2,18,"[1.4532639980316162, 2.634204864501953, 0.5121887922286987, 0.16851751506328583]",1.0
2,19,"[-0.8820173740386963, -0.2989811301231384, 0.3530586063861847, 0.12136282026767731]",0.0
3,0,"[0.035677552223205566, 3.2014994621276855, 1.9068024158477783, -0.058657288551330566]",1.0
3,1,"[2.165790557861328, -0.3549738824367523, -0.3435704708099365, 0.6254479885101318]",0.0
3,2,"[0.36894673109054565, -0.6307312250137329, -1.9894566535949707, 2.7612721920013428]",0.0
3,3,"[0.20391088724136353, -0.6024606227874756, 0.23366272449493408, -1.461271047592163]",1.0
3,4,"[-0.13495153188705444, 1.5032222270965576, 1.9346795082092285, 0.8137629628181458]",1.0
3,5,"[-1.728838562965393, 2.6622748374938965, 1.8661494255065918, 2.2133677005767822]",1.0
3,6,"[-0.9418821334838867, -1.0478250980377197, 0.3444352149963379, -0.8288527131080627]",1.0
3,7,"[-0.7156976461410522, -0.48374396562576294, -1.3417730331420898, 0.8421499729156494]",0.0
3,8,"[1.3582810163497925, 1.626046895980835, 0.7632721066474915, 0.5537394285202026]",1.0
3,9,"[-0.4381018877029419, -0.03874939680099487, 1.803593635559082, -1.1356186866760254]",1.0
3,10,"[1.834100365638733, -0.7055553197860718, -0.3438408374786377, -1.1809436082839966]",0.0
3,11,"[-0.5960099697113037, 1.250182032585144, 0.9828655123710632, 0.3595171570777893]",1.0
3,12,"[1.6257572174072266, -1.1998039484024048, -0.8695279359817505, 0.35463249683380127]",0.0
3,13,"[0.08902990818023682, -0.6004080772399902, -1.3711254596710205, 0.7156256437301636]",0.0
3,14,"[-0.3780807852745056, -0.9095537662506104, -0.7715424299240112, 1.1043146848678589]",0.0
3,15,"[-2.4059219360351562, 1.0546889305114746, 1.2239423990249634, -0.012606203556060791]",1.0
3,16,"[-0.04662415385246277, 0.6037135124206543, 0.191165030002594, 1.017728328704834]",0.0
3,17,"[1.3030189275741577, -0.02650737762451172, 0.13931918144226074, 0.9844037294387817]",0.0
3,18,"[-2.8428730964660645, 1.1227965354919434, 0.38579124212265015, 1.107084035873413]",1.0
3,19,"[-0.4884607791900635, 1.394169807434082, 0.8698252439498901, -0.8058743476867676]",1.0
4,0,"[-0.9571918249130249, 0.3944236934185028, 0.9412744641304016, 1.7585970163345337]",0.0
4,1,"[-1.2435041666030884, -0.6793555617332458, 1.6910102367401123, 1.9727067947387695]",1.0
4,2,"[-0.8059887290000916, 3.2840147018432617, 1.493004322052002, 0.3179783225059509]",0.0
4,3,"[-2.290492296218872, -1.0345616340637207, 0.02560567855834961, -1.2753651142120361]",1.0
4,4,"[-1.5102028846740723, 0.9267354607582092, 0.15875694155693054, -1.388335943222046]",0.0
4,5,"[2.431946039199829, 1.1052104234695435, -0.9732155799865723, 0.337992787361145]",0.0
4,6,"[0.3038792610168457, -0.11845904588699341, -0.03290438652038574, -0.2509707808494568]",0.0
4,7,"[0.5872205495834351, -1.597649097442627, 0.38217946887016296, 1.637131929397583]",1.0
4,8,"[-1.102585792541504, 0.10615307092666626, 1.2576992511749268, 0.19497570395469666]",0.0
4,9,"[-0.9143236875534058, -1.6085164546966553, -2.3170807361602783, -2.264497756958008]",1.0
4,10,"[1.052688717842102, 0.019636690616607666, 1.085286021232605, 0.6350651979446411]",0.0
4,11,"[2.6265816688537598, -2.3131158351898193, -2.727057456970215, -1.679795503616333]",1.0
