task_id,pair_id,exists_in_pairs,exists_in_pairmeta,exists_in_readme,description_file_exists,file_rows,file_columns,readme_var1,readme_var2,description_x,description_y,x_description_vs_readme_status,y_description_vs_readme_status,direction_hint,notes
1,pair0001,True,True,True,True,349,2,Altitude,Temperature,altitude,temperature (average over 1961-1990),exact,fuzzy,var1_to_var2,
14,pair0014,True,True,True,True,392,2,Horse power,Fuel consumption,horsepower,mpg,exact,mismatch,var1_to_var2,
18,pair0018,True,True,True,True,314,2,Age,Concentration GAG,age of child in years,concentration of GAG (the units have been lost),fuzzy,mismatch,var1_to_var2,
19,pair0019,True,True,True,True,194,2,Current duration,Next interval,duration of erruption in minutes,time to the next erruption in minutes,mismatch,mismatch,var1_to_var2,
23,pair0023,True,True,True,True,452,2,Age,Weight,age,weight,exact,exact,var1_to_var2,
42,pair0042,True,True,True,True,9162,2,Day of the year,Temperature,days of the year,"mean daily temperature of Furtwangen (Schwarzwald), Germany",mismatch,fuzzy,var1_to_var2,
43,pair0043,True,True,True,True,10369,2,Temperature at t,Temperature at t+1,"year 2000, day 50","year 2000, day 51",mismatch,mismatch,var1_to_var2,
44,pair0044,True,True,True,True,10369,2,Pressure at t,Pressure at t+1,"year 2000, day 50","year 2000, day 51",mismatch,mismatch,var1_to_var2,
45,pair0045,True,True,True,True,10369,2,Sea level pressure at t,Sea level pressure at t+1,"year 2000, day 50","year 2000, day 51",mismatch,mismatch,var1_to_var2,
56,pair0056,True,True,True,True,192,2,"Female life expectancy, 2000-2005	Latitude",UNdata,"life expectancy at birth for different countries, female, 2000-2005",latitude of the country's capital,mismatch,mismatch,var2_to_var1,
64,pair0064,True,True,True,True,162,2,Drinking water access,Infant mortality,"Population with sustainable access to improved drinking water sources (%) total, 2006","Infant mortality rate (per 1 000 live births) both sexes, 2006",mismatch,fuzzy,var1_to_var2,
66,pair0066,True,True,True,True,1331,2,Stock return of Hutchison	Stock return of Cheung kong,Yahoo database,stock returns of Hutchison (0013.HK),stock return of Cheung kong (0001.HK),mismatch,mismatch,var1_to_var2,
67,pair0067,True,True,True,True,1331,2,Stock return of Cheung kong,Stock return of Sun Hung Kai Prop.	Yahoo database,stock returns of Cheung kong (0001.HK),stock return of Sun Hung Kai Prop. (0016.HK),mismatch,mismatch,var1_to_var2,
68,pair0068,True,True,True,True,498,2,Bytes sent,Open http connections,bytes sent at minute t,open http connections during that minute,fuzzy,fuzzy,var2_to_var1,
73,pair0073,True,True,True,True,5084,2,CO2 emissions,Energy use,CO2 emissions for different countries in different years,Energy use (kg of oil equivalent per capita) for different countries in different years,fuzzy,fuzzy,var2_to_var1,
74,pair0074,True,True,True,True,194,2,GNI per capita,Life expectancy,GNI (Gross national income) per capita for different countries (in US$),life expectancy at birth for different countries,mismatch,fuzzy,var1_to_var2,
75,pair0075,True,True,True,True,205,2,Under-5 mortality rate,GNI per capita,under 5 mortality rate for different countries (deaths per 1000 live births),GNI (Gross national income) per capita for different countries (in US$),fuzzy,mismatch,var2_to_var1,
76,pair0076,True,True,True,True,347,2,Population growth,Food consumption growth,the average annual rate of change of population;,the average annual rate of change of total dietary consumption for total population (kcal/day),mismatch,mismatch,var1_to_var2,
78,pair0078,True,True,True,True,721,2,PPFD,Net Ecosystem Productivity,PPFD (Photosynthetic Photon Flux Density),NEP (Net Ecosystem Productivity),fuzzy,fuzzy,var1_to_var2,
82,pair0082,True,True,True,True,365,3,Temperature,"Local CO2 flux, DE-Har",Temperature in degree Celsius,CO2 flux at night,fuzzy,mismatch,var1_to_var2,excluded_multicolumn
83,pair0083,True,True,True,True,365,3,Temperature,"Local CO2 flux, US-PFa",Temperature in degree Celsius,CO2 flux at night,fuzzy,mismatch,var1_to_var2,excluded_multicolumn
84,pair0084,True,True,True,True,3102,2,Employment,Population,the natural logarithm of employment in 1980 in 3102 counties in US;,the natural logorithm of the corresponding population,fuzzy,fuzzy,var2_to_var1,
93,pair0093,True,True,True,True,432,2,precipitation,runoff,average precipitation over 1948 to 2004 in mm/day,average runoff in over 1948 to 2004 mm/day,fuzzy,fuzzy,var1_to_var2,
98,pair0098,True,True,True,True,94,2,speed at the beginning,speed at the end,,,exact,exact,var1_to_var2,
100,pair0100,True,True,True,True,209,2,cycle time of CPU,performance,"logarithm of the second column ('syct', cycle time in nanoseconds)","logarithm of the seventh column ('perf', published performance on a benchmark mix relative to an IBM 370/158-3)",mismatch,fuzzy,var1_to_var2,
