seed,task_id,rows_available,unique_x_available,points_per_bin,rows_dropped_invalid_xy,n_bins_used,target_points,sampled_points,resampled_count,non_empty_bins,empty_bins,status,notes,run_seed,run_timestamp_utc
3184791803,1,349,264,3,0,8,24,24,0,6,2,ok,,204,2026-02-21T03:21:18.042082+00:00
2303971178,14,392,93,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
3849207298,18,314,260,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
3487406532,19,194,108,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
913984733,23,452,77,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
2656846930,42,9162,366,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
2593704039,43,10369,3102,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
965025595,44,10369,2304,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
2022952467,45,10369,2359,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
44428472,56,192,43,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
2176971622,64,162,48,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
866284576,66,1331,1140,3,0,8,24,24,0,7,1,ok,,204,2026-02-21T03:21:18.042082+00:00
1516557213,67,1331,1159,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
252728148,68,498,421,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
1857357998,73,5084,5082,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
1168814009,74,194,178,3,0,8,24,24,0,7,1,ok,,204,2026-02-21T03:21:18.042082+00:00
3284735462,75,205,96,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
4170242908,76,347,82,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
2770353207,78,721,707,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
3279369385,84,3102,2875,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
3755067385,93,432,432,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
1838766695,98,94,31,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
1897843652,100,209,60,3,0,8,24,24,0,8,0,ok,,204,2026-02-21T03:21:18.042082+00:00
