task_id,trial_id,input,target,x,y,x_name,y_name,x_description,y_description,pair_id,source_file,bin_id,bin_left,bin_right,sample_stage,seed
1,0,[1640.0],3.4,1640.0,3.4,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,22,1628.0,1702.0,coverage,2881021351
1,1,[1486.0],3.3,1486.0,3.3,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,20,1480.0,1554.0,coverage,2881021351
1,2,[2960.0],-4.8,2960.0,-4.8,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,39,2886.0,2960.0,coverage,2881021351
1,3,[219.0],9.6,219.0,9.6,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,2,148.0,222.0,coverage,2881021351
1,4,[350.0],8.3,350.0,8.3,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,4,296.0,370.0,coverage,2881021351
1,5,[630.0],6.6,630.0,6.6,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,8,592.0,666.0,coverage,2881021351
1,6,[1125.0],4.8,1125.0,4.8,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,15,1110.0,1184.0,coverage,2881021351
1,7,[471.0],8.0,471.0,8.0,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,6,444.0,518.0,coverage,2881021351
1,8,[571.0],7.9,571.0,7.9,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,7,518.0,592.0,coverage,2881021351
1,9,[875.0],6.8,875.0,6.8,altitude,temperature (average over 1961-1990),altitude,temperature (average over 1961-1990),pair0001,/Users/aj9225/Local/meta-learning-ecological-priors-from-llms/functionlearning/data/cause-effects/pairs/pair0001.txt,11,814.0,888.0,coverage,2881021351
