seed,task_id,rows_available,unique_x_available,rows_dropped_invalid_xy,total_points_target,n_bins_used,non_empty_bins,empty_bins,sampled_points,coverage_assigned,density_assigned,redistributed_count,resampled_count,status,notes,run_seed,run_timestamp_utc
2881021351,1,349,264,0,24,40,22,18,24,22,2,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
3457461229,14,392,93,0,24,40,36,4,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
97294836,18,314,260,0,24,40,40,0,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
3470079268,19,194,108,0,24,40,32,8,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
2013703615,23,452,77,0,24,40,39,1,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
2213306430,42,9162,366,0,24,40,40,0,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
2706834549,43,10369,3102,0,24,40,40,0,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
1227507579,44,10369,2304,0,24,40,40,0,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
4207022316,45,10369,2359,0,24,40,40,0,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
231630601,56,192,43,0,24,40,36,4,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
1193673358,64,162,48,0,24,40,31,9,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
1646556804,66,1331,1140,0,24,40,30,10,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
2453218243,67,1331,1159,0,24,40,33,7,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
1754379057,68,498,421,0,24,40,18,22,24,18,6,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
562902477,73,5084,5082,0,24,40,36,4,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
194455476,74,194,178,0,24,40,28,12,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
4360883,75,205,96,0,24,40,30,10,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
209412772,76,347,82,0,24,40,30,10,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
639154319,78,721,707,0,24,40,40,0,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
4291428736,84,3102,2875,0,24,40,35,5,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
820262484,93,432,432,0,24,40,33,7,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
2801903998,98,94,31,0,24,40,21,19,24,21,3,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
3222337388,100,209,60,0,24,40,34,6,24,24,0,0,0,ok,,5,2026-02-21T04:22:37.271961+00:00
