seed,task_id,rows_available,unique_x_available,rows_dropped_invalid_xy,total_points_target,n_bins_used,non_empty_bins,empty_bins,sampled_points,coverage_assigned,density_assigned,redistributed_count,resampled_count,status,notes,run_seed,run_timestamp_utc
2032329982,1,349,264,0,24,8,6,2,24,6,18,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
2198257138,14,392,93,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3243419749,18,314,260,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
4082210490,19,194,108,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
149690572,23,452,77,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
619160821,42,9162,366,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3534516177,43,10369,3102,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
4074418349,44,10369,2304,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
1070428840,45,10369,2359,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
1339305887,56,192,43,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3732435015,64,162,48,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
1818173252,66,1331,1140,0,24,8,7,1,24,7,17,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
1173253411,67,1331,1159,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3554955570,68,498,421,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
1103772361,73,5084,5082,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
1757496907,74,194,178,0,24,8,7,1,24,7,17,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
2765224489,75,205,96,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
2360486913,76,347,82,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
368247393,78,721,707,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
118365489,84,3102,2875,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3717673524,93,432,432,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3236314157,98,94,31,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
3598687395,100,209,60,0,24,8,8,0,24,8,16,0,0,ok,,1,2026-02-21T04:23:59.606162+00:00
