,input,target,trial_id,task_id
0,[-0.27272731412183815],[-0.37062937],0,0
1,[-0.7272727364715196],[-0.67832168],1,0
2,[-0.9090908952927206],[-0.85174825],2,0
3,[0.36363624175236564],[-0.51324727],3,0
4,[-0.36363639353243865],[0.27272731],4,0
5,[-0.09090913000395823],[0.351049],5,0
6,[-1.0],[-0.9804196],6,0
7,[-0.7272727364715196],[-0.73426572],7,0
8,[-1.0],[-0.9804196],8,0
9,[-0.8181818158821201],[-0.51324727],9,0
10,[-1.0],[-0.98601397],10,0
11,[-0.1818182347112376],[-0.02937064],11,0
12,[-0.545454568164064],[-0.14685313],12,0
13,[-0.9090908952927206],[-1.],13,0
14,[-0.8181818158821201],[-0.51324727],14,0
15,[-0.545454568164064],[-0.3986014],15,0
16,[0.4545453211629662],[-0.51324727],16,0
17,[0.4545453211629662],[0.21678321],17,0
18,[-0.4545454792672089],[-0.17482516],18,0
19,[-0.4545454792672089],[-0.51324727],19,0
20,[-0.636363657060919],[-0.51324727],20,0
21,[-0.8181818158821201],[-0.74825175],21,0
22,[-0.9090908952927206],[-0.51324727],22,0
23,[-0.545454568164064],[-0.70629369],23,0
24,[0.18181813352452214],[-1.],24,0
25,[-7.589003647723302e-08],[-0.17482516],25,0
26,[-0.8181818158821201],[-0.8909091],0,1
27,[0.909090819402684],[-0.90209791],1,1
28,[-0.7272727364715196],[-0.7958042],2,1
29,[-0.9090908952927206],[-0.94125876],3,1
30,[-0.1818182347112376],[-0.11888113],4,1
31,[-0.36363639353243865],[-0.37062937],5,1
32,[-0.8181818158821201],[-0.51048951],6,1
33,[-0.545454568164064],[-0.51324727],7,1
34,[-0.4545454792672089],[-0.51324727],8,1
35,[-0.9090908952927206],[-0.94125876],9,1
36,[-0.7272727364715196],[-0.82601397],10,1
37,[-0.7272727364715196],[-0.3986014],11,1
38,[-0.7272727364715196],[0.1048951],12,1
39,[-0.27272731412183815],[-0.26993006],13,1
40,[-0.9090908952927206],[-1.],14,1
41,[-0.545454568164064],[-0.6055944],15,1
42,[-0.27272731412183815],[-0.25874124],16,1
