,input,target,trial_id,task_id
0,[-0.5000000113175475],[-0.37062937],0,0
1,[-0.5833333314470754],[-0.67832168],1,0
2,[-0.16666666289415086],[-0.85174825],2,0
3,[-0.08333333144707541],[-0.51324727],3,0
4,[-0.41666666855292456],[0.27272731],4,0
5,[0.0],[0.351049],5,0
6,[-0.41666666855292456],[-0.9804196],6,0
7,[-0.5000000113175475],[-0.73426572],7,0
8,[-0.16666666289415086],[-0.9804196],8,0
9,[-0.8333333597409441],[-0.51324727],9,0
10,[-0.33333333710584917],[-0.98601397],10,0
11,[-0.16666666289415086],[-0.02937064],11,0
12,[-0.33333333710584917],[-0.14685313],12,0
13,[-0.9166666798704721],[-1.],13,0
14,[-0.5000000113175475],[-0.51324727],14,0
15,[-0.5833333314470754],[-0.3986014],15,0
16,[-0.16666666289415086],[-0.51324727],16,0
17,[0.41666666855292456],[0.21678321],17,0
18,[0.16666666289415089],[-0.17482516],18,0
19,[-0.5000000113175475],[-0.51324727],19,0
20,[0.33333334842339657],[-0.51324727],20,0
21,[0.16666666289415089],[-0.74825175],21,0
22,[-0.2500000014146934],[-0.51324727],22,0
23,[-0.8333333597409441],[-0.70629369],23,0
24,[-0.7499999943412263],[-1.],24,0
25,[-0.16666666289415086],[-0.17482516],25,0
26,[0.33333334842339657],[-0.8909091],0,1
27,[-0.2500000014146934],[-0.90209791],1,1
28,[-0.16666666289415086],[-0.7958042],2,1
29,[-0.2500000014146934],[-0.94125876],3,1
30,[0.16666666289415089],[-0.11888113],4,1
31,[-0.5833333314470754],[-0.37062937],5,1
32,[1.0],[-0.51048951],6,1
33,[-0.5833333314470754],[-0.51324727],7,1
34,[-0.6666666742116983],[-0.51324727],8,1
35,[0.0],[-0.94125876],9,1
36,[-0.08333333144707541],[-0.82601397],10,1
37,[0.0],[-0.3986014],11,1
38,[0.2500000282938687],[0.1048951],12,1
39,[-0.08333333144707541],[-0.26993006],13,1
40,[-0.6666666742116983],[-1.],14,1
41,[-0.5833333314470754],[-0.6055944],15,1
42,[-0.8333333597409441],[-0.25874124],16,1
43,[-0.2500000014146934],[-0.39300699],17,1
44,[-0.5000000113175475],[-0.74545454],18,1
45,[-0.08333333144707541],[-0.51324727],19,1
46,[0.0],[-0.94685313],20,1
47,[-0.08333333144707541],[-0.89650349],21,1
48,[-0.16666666289415086],[0.04895104],22,1
49,[-0.41666666855292456],[-0.97482518],23,1
50,[-0.2500000014146934],[-0.42657342],24,1
