x,y
0.824,10.263
3.059,15.789
4.941,20.526
7.059,28.421
8.941,31.579
11.059,36.316
12.941,43.421
15.059,46.579
16.941,56.842
19.059,59.211
20.941,65.526
23.059,74.211
24.941,77.368
27.059,83.684
28.941,80.526
32,100.263
35.059,109.737
38.118,115.263
40,120
43.059,125.526
44.941,127.895
48,134.211
50.118,146.842
52,146.842
55.059,153.158
56.941,157.105
60,166.579
63.059,168.158
64.941,174.474
68,177.632
71.059,186.316
72.941,189.474
75.059,190.263
76.941,192.632
79.059,197.368
80.941,202.895
83.059,206.053
84,210.789
87.059,217.895
88.941,217.895
91.059,234.474
92.941,232.895
95.059,234.474
96.941,237.632
99.176,240
