model,slope,intercept,bic,task_id,a,b,c,d
linear,1.0060910893412938,0.02032919372321418,-145.96106830894647,21,,,,
linear,0.8928206755487534,-0.088866068098296,-61.12949247002683,43,,,,
linear,0.7753322078503931,-0.056153530487849726,-58.76115163073874,80,,,,
linear,-0.8005201822237369,0.10377123879058626,-70.2360219935953,88,,,,
quadratic,,,-191.0820867102952,98,1.9505117265760197,0.007217248221376559,-0.9500407369640742,
quadratic,,,-121.68545067488667,117,0.10268591614486151,1.0169743333275745,-0.08613620816158224,
linear,0.9894608691356238,-0.07789504046494126,-122.86741405359741,121,,,,
linear,-0.9867536624634428,0.01608049786652178,-164.2264593787985,204,,,,
quadratic,,,-234.2286445592386,270,2.008734227829381,-6.524899018711672e-05,-1.0066263661898565,
linear,0.9812971605218423,-0.044499556692090714,-114.63502172921724,277,,,,
quadratic,,,-202.20464659897306,283,1.9748688845551503,-0.008892955467755474,-0.9964394114215183,
linear,1.037893538710084,0.0014809247724404395,-159.75734705849513,311,,,,
linear,1.0107252493654233,0.023785508338280303,-122.26268318762881,393,,,,
linear,1.0167689454634852,-0.020955645083265233,-129.38870807153015,401,,,,
periodic,,,-69.76934390068303,513,0.8591983132414217,1.852317870338799,,-0.12224291653229216
quadratic,,,-183.3129122798693,522,1.960712039344807,-0.0051157118604158456,-0.943727957318908,
linear,1.060059271563854,-0.06130468408477885,-113.79783245236611,560,,,,
linear,0.9971866107087455,0.006434600799458345,-175.92870705655653,565,,,,
linear,-1.0193308498342388,0.027524404164705186,-135.84496840709818,570,,,,
linear,1.0319042356288697,-0.04401334809113555,-114.78963914889496,584,,,,
linear,1.0320720053337793,-0.04058079605684228,-153.53588754684202,610,,,,
periodic,,,-44.35124907905795,632,0.5353579471256816,2.2361515468124877,,0.026018554441708756
quadratic,,,-228.55840582696374,634,1.9859388034251693,-0.002043025793926519,-0.9884933672888565,
linear,-0.9934648394267933,0.009833716569634117,-200.50214931696,640,,,,
linear,-1.0135275265392343,0.007488256249738158,-169.3692900761994,644,,,,
linear,0.999012996428905,-0.005552346630781635,-135.4014933455953,667,,,,
linear,1.0039906350951726,-0.02092006138688962,-164.49133915268575,673,,,,
quadratic,,,-164.44821811243182,677,1.9294896831138835,0.008739938862203275,-0.9554978899350248,
linear,1.0022502461298277,0.028068132927030788,-150.56945766975943,685,,,,
quadratic,,,-179.1810960367802,692,1.986345584432097,-0.003283078514188853,-1.0060438083929073,
linear,1.0404312088456897,-0.008310545948132297,-126.45205501016805,706,,,,
linear,0.9968873871441463,0.03381092081299286,-134.1405349402019,713,,,,
quadratic,,,-224.4616184273928,725,1.9979274519801369,-0.003458041475774998,-1.0069129616485692,
quadratic,,,-160.4641404453077,742,1.9939916003031357,0.020666274984824786,-1.0060624191315835,
linear,0.7921245530321114,0.1117541530943723,-77.2524787923729,743,,,,
linear,1.022072756041184,-0.03748044364612113,-113.79520134376006,749,,,,
quadratic,,,-132.19939576906222,761,0.0780646403686196,1.0042729105741341,-0.1056629854708655,
