model,a,b,d,bic,task_id,slope,intercept,c
periodic,0.5164872274973533,2.672008171667542,0.1019283405763075,-60.07405710514932,13,,,
linear,,,,-31.45905621101714,16,0.45152778544912064,-0.028245866418038057,
linear,,,,-48.48791165557773,18,0.3688238297688592,0.005107627959648475,
periodic,0.7251277377056264,2.5728576136637997,0.526077936193191,-27.119413789325122,23,,,
linear,,,,-18.105430435546037,24,0.5052723538854542,0.49792062951616956,
linear,,,,-43.68403420889637,48,0.5123103764995699,-0.014586399872851485,
linear,,,,-32.827105375007264,63,0.547042418819708,0.17516109466348606,
linear,,,,-61.22418976782893,70,0.4612333783117802,0.12755499911908533,
linear,,,,-35.25118334315437,75,0.5472791741197112,0.08080285864914039,
periodic,0.5215081843728132,2.785756039254068,0.15195405274160262,-48.0271680172488,87,,,
quadratic,1.2726457930872517,0.7330759308515795,,-22.925316574785253,88,,,-0.20476207467225915
linear,,,,-16.830673743075998,97,0.6177013846637722,-0.05422241656262039,
linear,,,,-50.07257826444325,102,0.8563133477215193,0.17762727351993154,
linear,,,,-45.02831834222491,107,1.8239067356946708,0.5793118395937664,
linear,,,,-45.969904459887715,108,0.3573446891088401,-0.01666661993689922,
linear,,,,-53.697618635198566,125,0.6755196688417493,-0.043706697643625114,
linear,,,,-22.474792332906034,126,0.6394286513251439,0.24996096630735443,
periodic,0.3919716882145704,2.9614226138662425,0.027046006383099605,-46.611259770174286,133,,,
linear,,,,-33.48433681771901,136,0.5246124162171907,-0.03925034626127561,
linear,,,,-59.35545315348642,141,0.4794764259146387,-0.049414994049692185,
linear,,,,-48.87038020052835,146,0.24680229661032094,-0.045209879103441875,
linear,,,,-28.237247908747772,154,0.8416314099600959,0.2702579064918539,
periodic,0.3772592309315229,4.045808108888468,-0.24321172301367458,-64.651597550169,157,,,
linear,,,,-41.20003796563205,167,0.3633538860394512,-0.0296030752548051,
linear,,,,-64.87359264651838,169,0.4983296318623168,0.032015982824486366,
linear,,,,-10.730350750273384,191,0.29576314075474797,-0.07439615192254934,
linear,,,,-35.42082484877321,192,0.212787431093876,0.018166174803493917,
